date,title,link,compensation,employment_type,images,description
2019-08-29 13:06,CAD OPERATOR/DESIGNER WANTED,https://losangeles.craigslist.org/lgb/egr/d/huntington-beach-cad-operator-designer/6967418541.html,DOE,full-time,,"A So Cal fire alarm/low voltage contractor is looking for an Auto CAD Operator/Designer for our Huntington Beach Branch.  

 Candidates should meet the following criteria:

•	Proficient computer skills including Auto Cad, Excel, Word
•	1-2 years experience designing fire alarm systems including floor plan layouts, risers and calculations
•	Ability to process submittal packages including booklets and plans to various AHJ’s and customers
•	Experience with NFPA code standards
•	Notifier experience a plus
•	NICET certification a plus
•	Clean California Department of Motor Vehicles (DMV) Driving License
•	Pass company background check
•	Pass company drug screen
•	High School Diploma or equivalent
•	Willingness to learn and advance with the company

Pay: DOE 
Benefits: Medical, Dental, Vision, Life Insurance, AFLAC, FLEX (FSA), 401k, paid vacation and holidays

Visit our website at www.pyrocomm.com 

For consideration please reply to this post:"
2019-08-29 16:55,Project Manager,https://losangeles.craigslist.org/sgv/egr/d/upland-project-manager/6967576070.html,TBD Based on Experience,full-time,,"The Upland office of DC Architects has an immediate opening for a seasoned Project Manager having a minimum of 5 - 8 years of relevant experience in public K-12 educational facilities. 

Responsibilities Include:
-	Ability to lead a project with minimal instruction through schematic design, design development, construction documents, agency approvals, bidding, construction administration, and DSA close-out with certification
-	Create working drawings and work with consultants to produce their drawings
-	Work with a Sr. Project Manager to develop projects that meet Client’s expectations and are completed in a timely manner
-	Ability to work independently with minimal direction and have excellent organizational skills
-	Proficient in resolving drawing detailing
-	Proficient knowledge of California building codes (CBC) and agency approvals, including DSA, CDE, OPSC, and Local Fire Departments

 Required Experience:
-	Ability to work with and guide all team members through all design phases
-	Proficient in Auto CAD #14 and MS Office Suite – Revit proficiency is desirable
-	Possess excellent written and verbal communication skills

Desired Qualities:
-	Positive attitude and ability to work well with teammates, clients, state and city agencies

Perks
-	DCA offers financial assistance for employees seeking Architectural Licensure

Please send a cover letter, resume and work samples by email in PDF format."
2019-08-26 10:46,Senior Commercial and Workplace Interior Designer,https://losangeles.craigslist.org/wst/egr/d/culver-city-senior-commercial-and/6965082661.html,"$75,000 to $85,000 + Benefits",full-time,,"You will have a stand out design portfolio, great space planning experience and strong technical skills having worked on projects from early design stage through to construction documentation.  This is a great opportunity within a forward thinking design firm.  AutoCAD, Rhino, SketchUp and the Adobe Creative Suite are highly desired.

Key Responsibilities

Develops innovative design concepts which are practical, aesthetic, safe and conducive to intended purposes and function which is reflective of client goals and within project budget.
Able to produce drawings in a fast-paced environment
Show good thought process from concept to construction document stages
Technically-driven
Great organizational skills 

Skills and Experience:

5+ Year Professional Experience
Bachelor’s or Master’s degree in Architecture or Interior Design from an accredited program.
Excels in AutoCAD, SketchUp and 3D modeling software. 
Knowledge of Workplace, Office Space, Commercial and Tenant Improvement design process

REF#47456

Link:"
2019-08-26 20:04,Technician,https://losangeles.craigslist.org/lgb/egr/d/signal-hill-technician/6965482871.html,"Competitive salary, health insurance, 401(k)",full-time,,"Looking for technician to assist engineering and administrative staff at forensic engineering firm.  Tasks include organizing equipment inventory, ensuring test equipment is calibrated, shipping/receiving of evidence, assisting engineers with inspections/testing both in the laboratory and in the field, performing routine facilities maintenance.
Basic computer skills, mechanical ability (automotive/heavy equipment), certified forklift operator desired."
2019-08-26 15:06,CAD Drafter,https://losangeles.craigslist.org/sfv/egr/d/van-nuys-cad-drafter/6965316553.html,DOE,full-time,,"We are looking for a full-time CAD drafter.

- 2-5 years experience
- Proficient in Autocad
- Experience in wood and concrete
- Experience in multi-family is a plus

Please send a full resume when applying along with desired hourly rate.

About Us: We are a small firm that has been in business for over 45 years serving clients all over California."
2019-08-27 10:59,Cannon is Hiring a Water Resources Principal Engineer (LA),https://losangeles.craigslist.org/lgb/egr/d/los-angeles-cannon-is-hiring-water/6965855935.html,DOE,full-time,,"provides exciting opportunities for professional growth and outlets for team building. We strive to provide opportunity for personal growth and a balance between personal and professional life. Not only do we work together, but we also enjoy spending time together outside of work. We work hard. We play hard. We have fun.

 we have provided creative solutions to clients in the energy industry, water resources, public infrastructure, and commercial and residential development. With offices throughout California, we continue to grow!  

 a  for our  office. West Los Angeles is known for its many popular recreational opportunities and our office is conveniently located adjacent to the Expo MetroLink Commuter line.

 Wastewater Treatment Facilities * Collection Facilities * Water Distribution Systems * Water Treatment Plants * Storm Drainage Collection Systems and Facilities * Water Main Replacements * Potable Water Pump Stations and Reservoirs.

 supporting and managing projects for our water and wastewater clients in [Southern / Central] California.  Prepares plan specifications and cost estimates related to water and wastewater infrastructure projects including: master planning and hydraulic modeling, distribution and collection system design including pipelines, pump stations, reservoirs, hydraulic structures and water/wastewater treatment facilities. Mentors young engineers. Primary interface with clients on project coordination and design and follow-up to ensure quality standards are met, efficiency levels are maintained, and client satisfaction, respect and confidence are assured. For a detailed description on job duties, visit www.CannonCorp.us and click on ""Careers"".


•	Requires a BS Degree in Civil Engineering or Environmental Engineering.  An MS Degree in Water Resources or Environmental Engineering highly desirable.  
•	Requires a California P.E. license in Civil Engineering.
•	Requires 8 years' experience in water treatment and/or wastewater treatment, engineering analysis, and design of water distributions and wastewater collection facilities.
•	Central and/or Southern California professional Water Resources network is strongly desired.
•	Experience in project management and managing strong client relations. 
•	Experience in managing design teams with minimal supervision. 
•	Experience with diverse hydraulic modeling software platforms such as Innovyze, BioWin, and Bentley.
•	Working knowledge of AutoCAD, Civil 3D, ArcGIS, and other design software. 
•	Successful candidate will be a self-motivated individual with a good sense of priority, and interpersonal and communication skills - both written and verbal.

 competitive salaries, relocation assistance, an excellent benefits package, and an active and positive work environment.


Submit your resume and cover letter on-line at the ""Careers"" section at www.CannonCorp.us. EOE/AA

Or click on this link to apply -"
2019-08-05 07:00,Entry Level Mechanical (HVAC) Engineer/Designer and Cad Operator,https://losangeles.craigslist.org/lac/egr/d/entry-level-mechanical-hvac-engineer/6949853311.html,Excellent compensation,part-time,,"Entry Level Mechanical (HVAC) Engineer/Designer and Cad Operator (Encourage to apply from long distance commuters.)


ENTRY LEVEL MECHANICAL (HVAC) ENGINEER/DESIGNER QUALIFICATIONS 
• Software skills: Min 1-year experience or Excellent AutoCAD (must) and Hap, EnergyPro. (preferred)
• Entry Level: Previous experience with A/E. (plus)
• Education: Engineering or architectural school. (preferred)
• Experienced Engineer Level: Min 1-year experience with A/E with good AutoCAD skills.

ENTRY LEVEL MECHANICAL (HVAC) ENGINEER/DESIGNER PRIMARY RESPONSIBILITIES
• Perform field verification tasks confirming as-built conditions. 
• Generate field verification reports.
• Perform engineering calculations confirming load and service requirements based on Code and program requirements.
• Mostly government projects in LA County Area.

SPECIAL CONDITIONS/REQUIREMENTS
• Mostly residential projects based on template designs.
• Start early and leave early potential. (Encourage to apply from long distance commuters.)
• Full-time potential.
• For mechanical engineer/designer, willing to learn and assist electrical design.

PROFESSIONAL DEVELOPMENT OPPORTUNITIES
• We are committed to the professional development of our staff and provide an environment where staff are encouraged to acquire professional credentials and enhance their knowledge through work. We believe in developing future leaders.

AUTOCAD DRAFTER (Encourage to apply from long distance commuters.)  
• Seeking Independent AutoCAD Design Drafter for in-house design/drafting on an as-needed basis. Applicants must have min. 1-year recent experience. Please submit resume with desired hourly rates.
• Designer level opportunity."
2019-08-05 10:43,cabinet cad drafter,https://losangeles.craigslist.org/sfv/egr/d/van-nuys-cabinet-cad-drafter/6950065267.html,DOE (Depending on Experience),full-time,,"We Are a High-end Residential Custom Cabinetry Shop, Who Is Looking For Experienced Candidates To Fill The Following Position

Draftsman/ Auto CAD (full time position)
If you are experienced in this position, please e-mail your resume for immediate review.

Compensation: DOE (Depending on Experience)"
2019-08-05 12:13,Superintedent Wanted!,https://losangeles.craigslist.org/sfv/egr/d/pacoima-superintedent-wanted/6950153923.html,Commensurate to experience.,full-time,,"Minimum 10 years experience as a Superintendent with GC on Public Works projects $10M and above.  Planning, scheduling, and coordinate subcontractor and owner meetings; documentations.  Manage project schedule and critical path activities.  OSHA 30 certified."
2019-08-05 12:13,Electrical Graduate Engineer/Designer,https://losangeles.craigslist.org/lac/egr/d/austin-electrical-graduate-engineer/6950153954.html,Based on Experience,full-time,,"Encotech Engineering Consultants is experiencing an exciting time of growth and change.  With the expansion of our services and markets, we have a need to increase our team to accommodate our new opportunities.  We are currently seeking an electrical graduate engineer for our mechanical / electrical / plumbing (MEP) Department.   We are looking for polished, energetic, flexible outgoing professionals with a “Can Do” attitude. 

Founded in 1990, our firm provides mechanical, electrical, plumbing, and structural engineering and design services.  Our MEP Department provides complete and detailed mechanical heating, ventilation, air conditioning, plumbing and electrical engineering and design services for commercial, industrial, governmental and institutional buildings/projects.  

Position:
Graduate electrical engineering / design position with a MEP consulting engineering firm.

Required Education and Certificates: 
•	Bachelor Degree in Architectural Engineering or
•	Bachelor Degree in Electrical Engineering 

Required Experience: 
•	At least 3 years of electrical engineering, design and CAD/Revit drafting experience.

Position Description, Minimum Duties and Expectations: 
•	Reports directly to the Project Manager and under the guidance of a professional engineer. 
•	Preparing incoming AutoCAD and Revit files from client for mechanical, electrical and plumbing construction document production.
•	Creating electrical drawing cover sheets, detail sheets, one-line diagrams, schedule sheets, specification sheets and other typical project specific construction documents. 
•	Perform electrical power and lighting analysis, engineering, design, and production of AutoCAD and Revit construction drawing under the direction of a professional engineer and graduate engineers.
•	Maintain electrical drawings, details, and schedule databases.
•	Organize and maintain project documentation from start to completion.
•	Review of electrical submittals.
•	Respond to electrical field related issues, conflicts, and RFI’s during the construction phase.
•	Communicate & Coordinate effectively and professionally with project managers and internal staff. 

Required Qualifications: 
•	Proficient with AutoCAD and Revit.
•	Ability to read and interpret construction, shop, and design drawings.
•	Proficient in All Microsoft Office Applications 
•	Team Player with Positive Attitude
•	Polished/Professional Demeanor 
•	Strong Organizational Skills 
•	Multi-task oriented 
•	Works well under pressure 
•	Works well as a team member, providing support and coordination with team
•	Excellent Communication Skills

Benefits Offered:
•	Medical & Dental Insurance 
•	Short Term & Long Term Disability 
•	Continuing Education 
•	401(k) 
•	Profit Sharing 
•	PTO 
•	Paid Holidays 

TO APPLY: 
1.	Please email your resume detailing prior positions held with months/years of employment.
2.	Attach a cover letter explaining why you feel this position is a good fit for you. 
3.	Submit answers to the following: 
•	Salary history from your last two positions 
•	Reason for leaving last two positions 
•	Desired salary range 
•	Start date availability 

If this sounds like the opportunity you would welcome, we’d like to hear from you. 

Thank you"
2019-08-05 12:15,Wanted - Estimator!,https://losangeles.craigslist.org/sgv/egr/d/pasadena-wanted-estimator/6950155915.html,Commensurate to experience.,full-time,,"GC specializing in Public Works seeking Estimator with minimum 10 years related experience.  Responsibilities include seeking out bid opportunities; reviews plans, specs and related bid documents to prepare a full, accurate and timely take-off; liaise and negotiates with subcontractors; gathers and analyzes bid proposals for scope and pricing; attend job walk as necessary; assist in completion of special projects as may be assigned."
